hospital_name,payer,code_type,code,description,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,ein,rate,match_indicator,payer_rate,rate_delta
the mount sinai hospital,1199,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,174.0,,131624096,,No,174.0,
the mount sinai hospital,1199,cpt,43239,Egd biopsy single/multiple,2719.0,,131624096,,No,2719.0,
nyu langone,1199,cpt,43239,HC UGI W BX. SGL/MULTIPLE,1248.57,,133971298,,No,1248.57,
nyu langone,1199,cpt,43239,HC UGI W BX. SGL/MULTIPLE,5713.0,,133971298,,No,5713.0,
nyu langone,1199,cpt,43239,HC UGI W BX. SGL/MULTIPLE,5713.0,,133971298,,No,5713.0,
nyu langone,1199,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,5713.0,,133971298,,No,5713.0,
nyu langone,1199,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1248.57,,133971298,,No,1248.57,
nyu langone,1199,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,5713.0,,133971298,,No,5713.0,
nyu langone,1199,local,43239,HEAD HUM 19MM 50MM SHLDR UNIVERS STRL LF CUF ARTHROPATHY,7846.25,23.9,133971298,,No,7846.25,
nyu langone,1199,local,43239,HEAD HUM 19MM 50MM SHLDR UNIVERS STRL LF CUF ARTHROPATHY,,,133971298,,No,,
nyu langone,1199,local,43239,HEAD HUM 19MM 50MM SHLDR UNIVERS STRL LF CUF ARTHROPATHY,7846.25,23.9,133971298,,No,7846.25,
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,5845.0,Yes,2513.89,3331.11
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,453.64,Yes,2513.89,-2060.25
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,5228.0,Yes,2513.89,2714.11
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,3703.0,Yes,2513.89,1189.1100000000001
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,168.25,Yes,2513.89,-2345.64
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,1766.0,Yes,2513.89,-747.8899999999999
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,5228.0,Yes,2513.89,2714.11
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2513.89,,131624096,3703.0,Yes,2513.89,1189.1100000000001
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,5845.0,Yes,1048.28,4796.72
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,453.64,Yes,1048.28,-594.64
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,5228.0,Yes,1048.28,4179.72
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,3703.0,Yes,1048.28,2654.7200000000003
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,168.25,Yes,1048.28,-880.03
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,1766.0,Yes,1048.28,717.72
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,5228.0,Yes,1048.28,4179.72
the mount sinai hospital,aetna,cpt,43239,HC Egd Transoral Biopsy Single/Multiple,1048.28,,131624096,3703.0,Yes,1048.28,2654.7200000000003
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,5845.0,Yes,1048.28,4796.72
